English,Deutsch,Arabic
smells,riecht,رائحة
joking,scherzen,يمزح
christian,Christian,مسيحي
bleeding,Blutung,نزيف
hook,Haken,خطاف
beating,Prügel,الضرب
protection,Schutz,حماية
treatment,Behandlung,علاج
ear,Ohr,أذن
carter,Fuhrmann,كارتر
metal,Metall,معدن
disappear,verschwinden,يختفي
grateful,dankbar,شاكر
extremely,äußerst,لأقصى حد
treasure,Schatz,كنز
rescue,Rettung,ينقذ
capable,fähig,قادر
passing,Vorbeigehen,المرور
chatter,Geschwätz,الثرثرة
result,Ergebnis,نتيجة
suffering,leiden,معاناة
sisters,Schwestern,الأخوات
laid,gelegt,وضع
governor,Gouverneur,محافظ حاكم
guards,Wachen,حراس
louis,Louis,لويس
text,Text,نص
literally,buchstäblich,حرفياً
remove,entfernen,يزيل
becoming,Werden,تصبح
performance,Leistung,أداء
stronger,stärker,أقوى
rate,Rate,معدل
deeply,tief,بشدة
scream,Schrei,يصرخ
desert,Wüste,صحراء
vehicle,Fahrzeug,عربة
illegal,illegal,غير قانوني
pulling,Ziehen,سحب
throwing,werfen,رمي
josh,Josh,جوش
unbelievable,unglaublich,لا يصدق
ted,Ted,تيد
zero,null,صفر
dean,Dean,عميد
curious,neugierig,فضولي
sean,Sean,شون
candy,Süssigkeit,حلويات
bone,Knochen,عظم
tied,gebunden,ربط
edge,Rand,حافة
load,Belastung,حمولة
susan,Susan,سوزان
ahh,Ahh,آه
mountains,Berge,الجبال
boom,Boom,فقاعة
former,ehemalig,سابق
holiday,Urlaub,عطلة
riding,Reiten,يركب
scoffs,Spott,يسخر
hundreds,Hunderte,المئات
motherfucker,Motherfucker,موظف
sue,verklagen,قاضى
bags,Taschen,أكياس
stealing,stehlen,سرقة
appears,erscheint,يبدو
arrive,ankommen,يصل
remains,Überreste,بقايا
decent,anständig,مقبول
issues,Themen,مشاكل
tip,Spitze,نصيحة
fail,scheitern,يفشل
bride,Braut,زوجة
pissed,besoffen,سكران
penny,Penny,بنس واحد
claim,beanspruchen,مطالبة
friendship,Freundschaft,صداقة
desperate,verzweifelt,متحرّق إلى
flower,Blume,ورد
dramatic,dramatisch,دراماتيكي
refuse,verweigern,رفض
solve,lösen,يحل
theme,Thema,سمة
loving,liebend,محب
properly,richtig,على وجه صحيح
dragon,Drachen,التنين
mostly,meistens,خاصة
chuck,Futter,تشاك
directly,direkt,مباشرة
surface,Oberfläche,سطح
FALSE,FALSCH,خطأ شنيع
cast,gießen,يقذف
junior,Junior,مبتدئ
hunting,Jagd,الصيد
silent,still,صامتة
thou,du,انت
egg,Ei,بيضة
germany,Deutschland,ألمانيا
punch,schlagen,لكمة
africa,Afrika,أفريقيا
woke,erwachte,استيقظت
intelligence,Intelligenz,ذكاء
borrow,ausleihen,يستعير
winning,Gewinnen,الفوز
falls,Stürze,السقوط
popular,beliebt,شائع
escaped,entkam,هرب
witch,Hexe,ساحرة
convinced,überzeugt,مقتنع
warn,warnen,تحذير
announcer,Ansager,مذيع
champagne,Sekt,شامبانيا
dust,Staub,تراب
kyle,Kyle,كايل
someday,irgendwann mal,في يوم ما
fallen,gefallen,سقط
stranger,Fremder,شخص غريب
presence,Gegenwart,حضور
tear,Träne,يٌقطِّع
st.,st.,شارع.
internet,Internet,إنترنت
monsieur,Monsieur,المونسنيور
therefore,Deshalb,لذلك
technology,Technologie,تكنولوجيا
tires,Reifen,الإطارات
toast,Toast,خبز محمص
wise,weise,حكيم
clark,Clark,كلارك
americans,Amerikaner,الأمريكيون
notes,Anmerkungen,ملحوظات
smoking,Rauchen,التدخين
hank,Strang,هانك
ls,ls,ls
april,April,أبريل
wolf,Wolf,ذئب
precious,wertvoll,ثمين
rooms,Räume,غرف
coast,Küste,ساحل
treated,behandelt,يعالج
material,Material,مادة
released,freigegeben,مطلق سراحه
uniform,Uniform,زي مُوحد
hated,gehasst,كره
considered,berücksichtigt,يعتبر
rice,Reis,أرز
exchange,Austausch,تبادل
steps,Schritte,خطوات
blake,Blake,بليك
convince,überzeugen,يقنع
beast,Tier,وحش
cow,Kuh,بقرة
files,Dateien,الملفات
signs,Zeichen,علامات
drag,ziehen,يجر
cab,Taxi,سيارة أجرة
hung,aufgehängt,التعلق
carried,getragen,حمل
ordinary,normal,عادي
successful,erfolgreich,ناجح
eve,Vorabend,حواء
mistakes,Fehler,أخطاء
houses,Häuser,المنازل
chattering,Geschwätz,الثرثرة
brains,Gehirn,أدمغة
japan,Japan,اليابان
creature,Kreatur,مخلوق
fourth,vierte,رابع
separate,getrennt,متفرق
cleaning,Reinigung,تنظيف
california,Kalifornien,كاليفورنيا
lf,lf,LF
ll,ll,LL
shift,Schicht,يحول
elizabeth,Elisabeth,إليزابيث
chicago,Chicago,شيكاغو
exact,genau,بالضبط
karen,Karen,كارين
goal,Ziel,هدف
expert,Experte,خبير
served,serviert,خدم
direct,Direkte,مباشر
score,Punktzahl,نتيجة
row,Reihe,صف
marks,Markierungen,علامات
twenty,zwanzig,عشرين
receive,erhalten,يستلم
series,Serie,مسلسل
section,Abschnitt,قسم
pilot,Pilot,طيار
jackson,Jackson,جاكسون
darkness,Dunkelheit,الظلام
thy,deine,خاصتك
sale,Verkauf,أُوكَازيُون
destiny,Bestimmung,قدر
cure,Heilung,دواء
spoken,gesprochen,تحدث
armed,bewaffnet,مسلح
rare,selten,نادر
helen,Helen,هيلين
grade,Grad,درجة
juice,Saft,عصير
wide,breit,واسع
tower,Turm,برج
solution,Lösung,حل
schedule,Zeitplan,جدول
explosion,Explosion,انفجار
wheel,Rad,عجلة
cigarette,Zigarette,سيجارة
julie,Julie,جولي
fruit,Frucht,فاكهة
blew,blies,ينفخ
victor,Sieger,فيكتور
talks,Gespräche,محادثات
sacrifice,opfern,تصحية
range,Bereich,يتراوح
button,Taste,زر
reports,Berichte,التقارير
prisoner,Häftling,أسير
pie,Kuchen,فطيرة
effort,Bemühung,جهد
youth,Jugend,شباب
pot,Topf,وعاء
eaten,gegessen,يؤكل
taylor,Taylor,تايلور
knees,Knie,الركبتين
garage,Garage,كراج
parking,Parken,موقف سيارات
ambulance,Krankenwagen,سياره اسعاف
staring,starren,يحدق
chances,Chancen,فرص
circumstances,Umstände,ظروف
sin,Sünde,الخطيئة
gordon,Gordon,جوردون
progress,Fortschritt,تقدم
unusual,ungewöhnlich,غير عادي
county,Bezirk,مقاطعة
stairs,Stufen,سلالم
campaign,Kampagne,حملة
mon,Mon,الاثنين
vision,Vision,رؤية
reporter,Reporter,مراسل
equipment,Ausrüstung,معدات
moments,Momente,لحظات
joey,Joey,جوي
mass,Masse,كتلة
alien,Außerirdischer,كائن فضائي
trapped,gefangen,مُحاصَر
helps,hilft,يساعد
route,Route,طريق
defend,verteidigen,الدفاع
trace,verfolgen,يتعقب
nasty,böse,مقرف
tests,Tests,الاختبارات
magazine,Zeitschrift,مجلة
rocks,Felsen,الصخور
dump,entsorgen,أحمق
rude,unhöflich,غير مهذب
searching,Suche,يبحث
clue,Hinweis,فكرة
connected,in Verbindung gebracht,متصل
amen,Amen,آمين
pushed,gedrückt,دفع
merry,Fröhlich,مرح
zone,Zone,منطقة
senior,Senior,كبير
closing,Schließen,إغلاق
freeze,einfrieren,تجميد
emperor,Kaiser,إمبراطورية
incident,Vorfall,حادثة
snake,Schlange,ثعبان
mexico,Mexiko,المكسيك
lily,Lilie,زنبق
actor,Schauspieler,الممثل
newspaper,Zeitung,جريدة
sentence,Satz,جملة
greg,Greg,جريج
leading,führend,قيادة
friendly,freundlich,ودي
jones,Jones,جونز
chosen,gewählt,اختيار
engaged,engagiert,مرتبط
julia,Julia,جوليا
charming,charmant,أَخَّاذ
mustn,Mustn,لا بد من
anger,Wut,الغضب
spending,Ausgaben,الإنفاق
learning,Lernen,تعلُّم
spy,Spion,جاسوس
sharp,scharf,حاد
shadow,Schatten,ظل
warrant,Gewährleistung,مذكرة
elevator,Aufzug,مصعد
kingdom,Königreich,مملكة
ricky,Ricky,ريكي
jamie,Jamie,جيمي
squad,Kader,فريق
shoulder,Schulter,كتف
wave,Welle,موجة
amanda,Amanda,أماندا
highness,Hoheit,السمو
kinds,Arten,أنواع
fishing,Angeln,صيد السمك
sometime,irgendwann,بعض الاحيان
attitude,Attitüde,سلوك
sucks,saugt,تمتص
negative,Negativ,سلبي
screen,Bildschirm,شاشة
workers,Arbeitskräfte,عمال
bored,gelangweilt,ممل
cameras,Kameras,كاميرات
similar,ähnlich,مشابه
understanding,Verständnis,فهم
beeps,Pieps,صفير
chain,Kette,سلسلة
bull,Stier,ثور
gasping,nach Luft schnappen,يلهث
fully,völlig,تماما
robin,Robin,روبن
collect,sammeln,يجمع
gorgeous,prächtig,خلاب
morgan,Morgan,مورغان
passion,Hingabe,عاطفة
writer,Schriftsteller,كاتب
empire,Reich,إمبراطورية
international,International,دولي
curse,Fluch,لعنة
hire,mieten,يؤجر
bastards,Bastarde,الأوغاد
puts,stellt,يضع
leads,führt,يؤدي
id,Ausweis,بطاقة تعريف
blows,Schläge,ضربات
sons,Söhne,أبناء
estate,Anwesen,ملكية
customers,Kunden,عملاء
maggie,Maggie,ماجي
gunshot,Schuss,طلق ناري
i-,ich-,أنا-
device,Gerät,جهاز
troops,Truppen,القوات
hug,Umarmung,حضن
design,Design,تصميم
movement,Bewegung,حركة
thunder,Donner,رعد
object,Objekt,هدف
loser,Verlierer,الخاسر
pen,Stift,قلم
sobbing,Schluchzen,يبكي
politics,Politik,سياسة
despite,trotz,بالرغم من
alcohol,Alkohol,الكحول
climb,steigen,تسلق
clients,Kunden,العملاء
conference,Konferenz,مؤتمر
provide,bieten,يمد
marty,Marty,مارتي
seek,suchen,يطلب
witnesses,Zeugen,شهود عيان
earn,verdienen,يكسب
trash,Müll,نفاية
valley,Schlucht,الوادي
fashion,Mode,موضة
howard,Howard,هوارد
episode,Folge,حلقة
prize,Preis,جائزة
previously,bisher,سابقًا
sports,Sport,رياضات
wanting,wollen,الرغبة
debt,Schulden,دَين
wishes,wünscht sich,التمنيات
hitler,Hitler,هتلر
wire,Kabel,الأسلاك
thee,dich,اليك
circle,Kreis,دائرة
approach,Ansatz,يقترب
stock,Aktie,مخزون
facts,Fakten,حقائق
remembered,fiel ein,تذكرت
percent,Prozent,نسبه مئويه
normally,normalerweise,عادة
tail,Schwanz,ذيل
joined,beigetreten,انضم
education,Ausbildung,تعليم
bravo,Bravo,أحسنت
library,Bibliothek,مكتبة
rape,vergewaltigen,اغتصاب
wings,Flügel,أجنحة
growling,knurren,الهدر
thrown,geworfen,ألقيت
tank,Panzer,خزان
exhales,atmet,الزفير
authority,Behörde,سلطة
current,aktuell,حاضِر
failure,Versagen,فشل
nightmare,Alptraum,كابوس
hitting,Schlagen,ضرب
glory,Ruhm,مجد
knocked,geklopft,طرقت
studying,studieren,دراسة
barry,Barry,باري
agency,Agentur,وكالة
apple,Apfel,تفاحة
border,Grenze,حدود
rope,Seil,حبل
duck,Ente,بطة
reputation,Ruf,سمعة
confidence,Vertrauen,ثقة
yard,Hof,حديقة منزل
beloved,geliebte,محبوب
lack,Mangel,نقص
actual,tatsächlich,فِعلي
skills,Fähigkeiten,مهارات
films,Filme,أفلام
mental,mental,عقلي
salt,Salz,ملح
flesh,Fleisch,لحم
anne,Anne,آن
secure,sicher,يؤمن
highly,höchst,بشدة
federal,Bundes,الفيدرالية
sand,Sand,رمل
emotional,emotional,عاطفي
setting,Einstellung,جلسة
nothin,nichts,لا شيء
senator,Senator,السناتور
services,Dienstleistungen,خدمات
robbery,Raub,سرقة
hates,Hasst,يكره
fed,gefüttert,تغذيها
reward,belohnen,جائزة
theater,Theater,مسرح
johnson,Johnson,جونسون
commit,begehen,يقترف
patrick,Patrick,باتريك
entirely,vollständig,تماما
extraordinary,außerordentlich,نادِر
ships,Schiffe,السفن
opposite,Gegenteil,عكس
parties,Partys,حفلات
stands,steht,مواقف
terry,Terry,تيري
chat,Plaudern,محادثة
events,Veranstaltungen,الأحداث
mummy,Mumie,مومياء
bay,Bucht,خليج
slip,Unterhose,ينزلق
disappointed,enttäuscht,خائب الأمل
settled,niedergelassen,تسوية
begins,beginnt,يبدأ
andrew,Andrew,أندرو
alert,Alarm,يُحذًِر
detail,Detail,التفاصيل
pink,Rosa,لون القرنفل
fellas,Kumpel,أوباتي
accepted,akzeptiert,قبلت
background,Hintergrund,خلفية
garbage,Müll,قمامة
panic,Panik,ذعر
minds,Köpfe,العقول
belt,Gürtel,حزام
blowing,blasen,نفخ
hollywood,Hollywood,هوليوود
agreement,Vereinbarung,اتفاق
jackie,Jackie,جاكي
pushing,drängen,دفع
ability,Fähigkeit,قدرة
tiger,Tiger,نمر
whispering,Flüstern,يهمس
culture,Kultur,ثقافة
saint,Heilige,القديس
jesse,Jesse,جيسي
task,Aufgabe,مهمة
solid,solide,صلب
doll,Puppe,لعبة
intend,beabsichtigen,ينوي
district,Bezirk,يصرف
pa,pa,السلطة الفلسطينية
gee,Gee,جي
custody,Gewahrsam,كفالة
ignore,ignorieren,يتجاهل
naturally,natürlich,بطبيعة الحال
useful,nützlich,مفيد
attempt,versuchen,محاولة
abandoned,verlassen,متروك
cutting,Schneiden,قطع
kissed,geküsst,قبلت
guarantee,Garantie,يضمن
barking,Gebell,نباح
gather,versammeln,يجتمع
policy,Politik,سياسة
u.s.,uns.,نحن.
violent,gewalttätig,عنيف
maid,Dienstmädchen,خادمة
embarrassing,peinlich,محرج
childhood,Kindheit,طفولة
wasting,verschwenden,هدر
bow,Bogen,قَوس
chick,Küken,فتاة جميلة
sara,Sara,سارا
disaster,Katastrophe,كارثة
revolution,Revolution,ثورة
online,online,متصل
f,F,F
demon,Dämon,شيطان
heavily,schwer,بشدة
coincidence,Zufall,صدفة
perform,ausführen,يؤدي
thin,dünn,رفيع
terrific,ausgezeichnet,رائع
mac,Mac,ماك
crown,Krone,تاج
identity,Identität,هوية
virgin,Jungfrau,بِكر
impressive,beeindruckend,بديع
windows,Fenster,شبابيك
no-one,niemand,لا احد
potential,Potenzial,محتمل
guitar,Gitarre,غيتار
committee,Ausschuss,لجنة
dozen,Dutzend,دزينة
delivery,Lieferung,توصيل
advance,Vorauszahlung,يتقدم
quietly,ruhig,بهدوء
stan,Stan,ستان
teaching,Lehren,تعليم
hunter,Jäger,هنتر
latest,neueste,أحدث
hurting,verletzt,مؤلم
swing,schwingen,يتأرجح
capital,Hauptstadt,عاصمة
counting,Zählen,عد
drew,Drew,رسم
dirt,Schmutz,التراب
whistle,Pfeife,صافرة
marie,Marie,ماري
hits,Hits,يضرب
doug,Doug,دوغ
deny,leugnen,ينكر
urgent,dringend,عاجل
threatened,angedroht,مهدد
behavior,Verhalten,سلوك
molly,Molly,مولي
mixed,gemischt,مختلط
stays,bleibt,يبقى
assure,versichern,تأكد
subtitles,Untertitel,ترجمات
explanation,Erläuterung,توضيح
wins,Gewinnt,يفوز
unique,einzigartig,فريد
chasing,jagend,مطاردة
billion,Milliarde,مليار
duke,Herzog,دوق
production,Produktion,إنتاج
slave,Sklave,عبد
agents,Agenten,عملاء
carol,Carol,كارول
lets,Lasst uns,دعونا
cruel,grausam,فظ
mask,Maske,قناع
sally,Ausfall,سالي
behave,benehmen,تصرف
bury,begraben,دفن
massive,fest,جَسِيم
pathetic,erbärmlich,مثير للشفقة
species,Spezies,صِنف
approaching,sich nähernd,تقترب
jo,Jo,جو
loan,Darlehen,يُقرض
struggle,Kampf,كفاح
dish,Gericht,طبق
trusted,Vertrauenswürdige,موثوق به
jumped,sprang,قفز
firing,Brennen,إطلاق النار
channel,Kanal,قناة
abby,Abby,آبي
stopping,Stoppen,وقف
asks,fragt,يسأل
jean,Jean,جان
swimming,Baden,سباحة
daily,täglich,يوميًا
basement,Keller,قبو
linda,Linda,ليندا
quarter,Quartal,ربع
erm,ähm,ERM
bound,gebunden,مرتبط ب
navy,Marine,القوات البحرية
article,Artikel,شرط
guide,Führung,مرشد
accused,beschuldigt,المتهم
transfer,überweisen,تحويل
guts,Innereien,أحشاء
quality,Qualität,جودة
fella,Kerl,شخص وهي كلمة عامية
roman,römisch,روماني
greater,größer,أكبر
damned,verdammt,ملعون
couch,Couch,أريكة
cheer,jubeln,يشجع
vegas,Vegas,فيغاس
shoe,Schuh,حذاء
title,Titel,عنوان
shy,schüchtern,خجول
punishment,Bestrafung,عقاب
los,los,لوس
clicks,Klicks,نقرات
you,Du,أنت
closet,Kleiderschrank,خزانة
bye-bye,Tschüss,وداعا وداعا
fever,Fieber,حمى
coward,Feigling,جبان
flash,blinken,فلاش
impressed,beeindruckt,معجب
bruce,Bruce,بروس
siren,Sirene,صفارة إنذار
prisoners,Gefangene,السجناء
sides,Seiten,الجانبين
bowl,Schüssel,صَحن
katie,Katie,كاتي
supply,liefern,إمداد
sensitive,empfindlich,حساس
hopefully,hoffentlich,أملاً
rolling,rollen,المتداول
roy,Roy,روي
dollar,Dollar,دولار
tone,Ton,نغمة
voices,Stimmen,أصوات
g,G,ز
i,ich,أنا
cheating,schummeln,الغش
confess,bekennen,اعترف
demand,Nachfrage,يطلب
museum,Museum,متحف
unknown,Unbekannt,مجهول
drama,Theater,دراما
suspicious,verdächtig,مثير للشك
adult,Erwachsene,بالغ
todd,Todd,تود
frightened,erschrocken,مرتعب
warned,gewarnt,حذر
steady,stetig,ثابت
kills,tötet,يقتل
crossed,gekreuzt,عبر
lou,Lou,لو
particularly,insbesondere,خصوصًا
sandwich,Sandwich,ساندويتش
laws,Gesetze,قوانين
joint,gemeinsam,مشترك
bullets,Kugeln,الرصاص
package,Paket,طَرد
trained,trainiert,مدربة
thursday,Donnerstag,يوم الخميس
boots,Stiefel,أحذية
possibility,Wahrscheinlichkeit,إمكانية
albert,Albert,ألبرت
civil,bürgerlich,مدني
june,Juni,يونيو
germans,Deutsche,الألمان
baseball,Baseball,البيسبول
express,äußern,يعبر
miserable,miserabel,بائس
tuesday,Dienstag,يوم الثلاثاء
parker,Parker,باركر
lion,Löwe,أسد
joseph,Joseph,جوزيف
refused,abgelehnt,رفض
shine,scheinen,يشرق
assault,Angriff,يتعدى
hong,Hong,هونغ
jokes,Witze,نكات
breaks,geht kaputt,فرامل
argue,argumentieren,يجادل
you-,Du-,أنت-
trail,Pfad,أثر
option,Möglichkeit,خيار
recall,abrufen,يتذكر
mighty,mächtig,الجبار
collection,Sammlung,مجموعة
oliver,Oliver,أوليفر
wilson,Wilson,ويلسون
accent,Akzent,لهجة
believes,glaubt,يعتقد
decisions,Entscheidungen,قرارات
embarrassed,beschämt,مُحرَج
mobile,"Handy, Mobiltelefon",متحرك
customer,Kunde,عميل
terribly,fürchterlich,رهيب
sec,Sek,ثانية
charity,Wohltätigkeit,صدقة
considering,angesichts,مع مراعاة
pussy,Muschi,كس
donna,Donna,دونا
protecting,schützen,الحماية
flag,Flagge,علَم
kidnapped,entführt,خطف
italy,Italien,إيطاليا
balance,Gleichgewicht,توازن
creatures,Kreaturen,مخلوقات
nuclear,Nuklear,نووي
wallet,Geldbörse,محفظة
shout,schreien,يصيح، يصرخ، صيحة
vincent,Vincent,فنسنت
entered,trat ein,دخلت
impression,Eindruck,انطباع
angela,Angela,أنجيلا
jay,Jay,جاي
degrees,Grad,درجات
favour,favorisieren,محاباة
reaction,Reaktion,رد فعل
network,Netzwerk,شبكة
jessica,Jessica,جيسيكا
version,Ausführung,إصدار
concert,Konzert,حفلة موسيقية
gear,Gang,هيأ
singer,Sänger,مغني
diamond,Diamant,الماس
defeat,Verlust,هزيمة
steven,Steven,ستيفن
lane,Fahrbahn,خط
blast,sprengen,انفجار
wounded,verwundet,جريح
anytime,jederzeit,في أي وقت
partners,Partner,الشركاء
ages,Alter,الأعمار
charlotte,Charlotte,شارلوت
ceremony,Zeremonie,احتفال
league,Liga,الدوري
bars,Riegel,الحانات
orange,orange,البرتقالي
specific,Spezifisch,محدد
conditions,Bedingungen,شروط
plastic,Plastik,بلاستيك
crisis,Krise,مصيبة
fifth,fünfte,الخامس
term,Begriff,شرط
self,selbst,الذات
offering,Angebot,عرض
bud,Knospe,برعم
suffered,gelitten,عانى
reported,gemeldet,ذكرت
commissioner,Kommissar,مفوض
rip,Ruhe in Frieden,قطع
mysterious,mysteriös,غامض
entrance,Eingang,مدخل
messed,durcheinander,أفسد
tunnel,Tunnel,نفق
designed,entworfen,مصمم
neighbor,Nachbar,جار
aboard,an Bord,على متن سفينة
sweat,Schweiß,يعرق
justin,Justin,جاستن
ghosts,Geister,أشباح
crimes,Verbrechen,جرائم
costs,Kosten,التكاليف
deserves,verdient,يستحق
dreaming,träumend,الحلم
bust,Büste,اعتقال
el,El,el
teddy,Teddy,دمية
kong,Kong,كونغ
messages,Mitteilungen,رسائل
enjoying,genießen,الاستمتاع
afterwards,nachher,عقب ذلك مباشرة
comfort,Kompfort,راحة
mason,Mason,ميسون
surrender,aufgeben,يستسلم
gym,Fitnessstudio,نادي رياضي
kitty,Kitty,كيتي
crush,zerkleinern,معجب
yup,Jawohl,نعم
arranged,vereinbart worden,ترتيبها
suits,Anzüge,بدلة
pee,pinkeln,يتبول
stress,betonen,ضغط
cave,Höhle,كهف
wing,Flügel,جناح
jordan,Jordanien,الأردن
arrange,arrangieren,يرتب
comrade,Genosse,الرفيق
noble,edel,النبيل
tricks,Tricks,الخدع
betty,Betty,بيتي
launch,Start,يطلق
legend,Legende,أسطورة
mix,mischen,مزج
golf,Golf,الجولف
imagination,Vorstellung,خيال
fox,Fuchs,الثعلب
kissing,küssen,تقبيل
butter,Butter,سمنة
tax,Steuer,ضريبة
gross,grob,إجمالي
edward,Edward,إدوارد
texas,Texas,تكساس
insist,pochen,يصر
marcus,Marcus,ماركوس
classic,klassisch,كلاسيكي
selfish,egoistisch,أنانية
skull,Schädel,جمجمة
frankie,Frankie,فرانكي
shown,gezeigt,يظهر
bat,Schläger,مضرب
survived,überlebt,نجا
print,drucken,مطبعة
champion,Champion,بطل
bills,Rechnungen,فواتير
therapy,Therapie,مُعَالَجَة
lifetime,Lebensdauer,حياة
throughout,hindurch,طَوَال
a.m.,Bin.,أكون.
nathan,Nathan,ناثان
toward,zu,باتجاه
sauce,Soße,صلصة
experiment,Experiment,تجربة
margaret,Margaret,مارغريت
describe,beschreiben,يصف
ross,Ross,روس
grass,Gras,عشب
cheat,schummeln,يغش
attend,teilnehmen,يحضر
homework,Hausaufgaben,العمل في المنزل
lewis,Lewis,لويس
betrayed,verraten,خيانة
servant,Knecht,خادم
cap,Deckel,قبعة
tyler,Tyler,تايلر
bible,Bibel,الكتاب المقدس
practically,praktisch,عمليا
catherine,Catherine,كاثرين
steel,Stahl,فُولاَذ
wipe,wischen,يمسح
burns,brennt,الحروق
j,J,ي
generation,Generation,جيل
cabin,Kabine,الطائرة
financial,finanziell,مالي
industry,Industrie,صناعة
bond,Bindung,رابطة
sheep,Schaf,غنم
scientists,Wissenschaftler,العلماء
beaten,geschlagen,ضرب
heck,Teufel,تبا
deck,Deck,ظهر السفينة
fans,Fans,المشجعين
script,Skript,النصي
brand,Marke,ماركة
degree,Grad,درجة
painful,schmerzlich,مؤلم
coughing,Husten,يسعل
religion,Religion,دِين
cats,Katzen,القطط
stephen,Stephen,ستيفن
influence,beeinflussen,تأثير
fuel,Kraftstoff,وقود
drawing,Zeichnung,رسم
uh-oh,uh-oh,اه
rabbit,Kaninchen,أرنب
exercise,Übung,يمارس
attractive,attraktiv,جذاب
touching,berühren,مؤثر
virus,Virus,فايروس
realise,realisieren,يدرك
torture,Folter,يعذب
blessed,gesegnet,مبروك
plain,schmucklos,سهل
rebecca,Rebecca,ريبيكا
recent,jüngste,مؤخرًا
barbara,Barbara,باربرا
footsteps,Schritte,خطوات
sacred,heilig,مقدس
removed,ENTFERNT,إزالة
pretending,vortäuschend,التظاهر
wasted,verschwendet,ضائع
jewish,jüdisch,يهودي
goodnight,Gute Nacht,طاب مساؤك
robot,Roboter,إنسان آلي
crystal,Kristall,كريستال
confirm,bestätigen,يتأكد
lad,Junge,الفتى
mile,Meile,ميل
division,Aufteilung,قسم
scratch,kratzen,يخدش
reminds,erinnert,يذكر
walks,Spaziergänge,يمشي
ending,Ende,النهاية
russia,Russland,روسيا
contest,Wettbewerb,منافسة
valuable,wertvoll,قيّم
distant,entfernt,بعيد
dumped,abgeladen,ملقاة
motion,Bewegung,حركة
electricity,Elektrizität,كهرباء
centre,Center,مركز
murders,Morde,جرائم القتل
tina,Tina,تينا
jeremy,Jeremy,جيريمي
seal,Siegel,ختم
standard,Standard,معيار
ellen,Ellen,إلين
wore,trug,ارتدى
surrounded,umgeben,محاط
struck,geschlagen,أصابت
inform,informieren,يخبر
gentle,sanft,لطيف
status,Status,حالة
purse,Geldbeutel,حافِظَة
prints,Drucke,مطبوعات
players,Spieler,اللاعبون
charged,berechnet,متهم
begging,betteln,التسول
delivered,geliefert,تم التوصيل
kenny,Kenny,كيني
buck,Bock,دولار
nina,Nina,نينا
construction,Konstruktion,بناء
confirmed,bestätigt,مؤكد
confession,Geständnis,اعتراف
trigger,Abzug,مشغل
cells,Zellen,الخلايا
frankly,geradeheraus,بصراحة
ali,Ali,علي
exit,Ausfahrt,مخرج
response,Antwort,إجابة
cancel,stornieren,يلغي
argument,Streit,دعوى
principal,Rektor,رئيسي
turkey,Truthahn,ديك رومى
lucas,Lucas,لوكاس
clinic,Klinik,عيادة
greetings,Grüße,تحيات
neighbors,Nachbarn,الجيران
vice,Vize,نائب
toy,Spielzeug,لعبة
hannah,Hannah,هانا
everyday,täglich,كل يوم
generous,großzügig,كريم
gain,gewinnen,يكسب
idiots,Idioten,الأغبياء
holly,Stechpalme,هولي
enjoyed,genossen,استمتعت
jungle,Dschungel,غابة
link,Verknüpfung,وصلة
underground,unter Tage,تحت الأرض
smiling,lächelnd,يبتسم
mistress,Herrin,عشيقة
teams,Teams,فرق
product,Produkt,منتج
beef,Rindfleisch,لحم
whispers,flüstert,همسات
religious,religiös,ديني
presents,die Geschenke,هدايا
identify,identifizieren,تعريف
chip,Chip,رقاقة
chffffff,chffffff,chffffff
surveillance,Überwachung,مراقبة
carlos,Carlos,كارلوس
vampire,Vampir,مصاص دماء
routine,Routine,نمط
uses,Verwendet,الاستخدامات
michelle,Michelle,ميشيل
underneath,unterhalb,تحته
systems,Systeme,الأنظمة
temperature,Temperatur,درجة حرارة
waves,Wellen,أمواج
tribe,Stamm,قبيلة
brad,Brad,براد
deputy,Stellvertreter,نائب
sophie,Sophie,صوفي
headquarters,Hauptquartier,مقر
equal,gleich,متساوي
phones,Telefone,الهواتف
ken,Ken,كين
reckon,rechnen,اعتقد - ظن - اعتبر
related,verwandt,متعلق ب
incredibly,unglaublich,بشكل لا يصدق
chill,kühlen,برد
spit,Spucke,البصق
tracks,Spuren,المسارات
oscar,Oscar,أوسكار
makeup,bilden,ماكياج
bug,Insekt,حشرة
sounded,klang,بدا
spirits,Spirituosen,معنويات
nerve,Nerv,عصب
divorced,geschieden,مُطلّق
stake,Einsatz,حصة
port,Hafen,ميناء
doorbell,Türklingel,جرس الباب
worries,Sorgen,مخاوف
nephew,Neffe,ابن الأخ
miller,Müller,ميلر
units,Einheiten,الوحدات
just-,Nur-,فقط-
proceed,fortfahren,يتابع
landing,Landung,الهبوط
traitor,Verräter,خائن
outfit,Outfit,زيّ
chloe,Chloe,كلوي
bail,Kaution,بكفالة
fields,Felder,مجالات
patience,Geduld,الصبر
recording,Aufzeichnung,تسجيل
foolish,töricht,غبي
loaded,geladen,محمل
tokyo,Tokio,طوكيو
davis,Davis,ديفيس
costume,Kostüm,زي
wayne,Wayne,واين
injured,verletzt,مصاب
somethin,etwas,شيء ما
ian,Ian,إيان
pet,Haustier,حيوان أليف
cage,Käfig,قفص
digging,graben,حفر
spain,Spanien,إسبانيا
seats,Sitze,مقاعد
awkward,unangenehm,محرج
